ACK_ID,ROW_ORDER,PEN_CONTRIB_EMPLR_NAME,PEN_CONTRIB_EMPLR_EIN,PEN_CONTRIB_EMPLR_AMT,PEN_CONTRIB_EMPLR_CBA_EXP_IND,PEN_CONTRIB_EMPLR_CBA_EXP_DATE,PEN_CONTR_EMPLR_MULTI_RATE_IND,PEN_CONTR_EMPLR_MULTI_RATE_AMT,PEN_CONTRIB_EMPLR_BASE_CD,PEN_CONTR_EMPLR_OTH_BASE_TEXT
"20140207140817P030069682101001",1,,,,"0",,"0",,,
"20140124093046P030182398323001",1,,,,"0",,"0",,,
"20140320084536P030259786931001",1,,,,"0",,"0",,,
"20140728145747P040019441695001",1,,,,"0",,"0",,,
"20140729113234P030024144109001",6,,,,"0",,"0",,,
"20140729113234P030024144109001",5,,,,"0",,"0",,,
"20140729113234P030024144109001",4,,,,"0",,"0",,,
"20140729113234P030024144109001",3,,,,"0",,"0",,,
"20140729113234P030024144109001",2,,,,"0",,"0",,,
"20140729113234P030024144109001",1,,,,"0",,"0",,,
"20140731124613P040064962695001",1,,,,"0",,"0",,,
"20140717114149P040043187959001",1,,,,"0",,"0",,,
"20140805105411P030024823071001",1,,,,"0",,"0",,,
"20140808161543P040031955901001",1,,,,"0",,"0",,,
"20140731163054P040067671057001",1,,,,"0",,"0",,,
"20140703082740P040009357005001",1,,,,"0",,"0",,,
"20140909085628P030040148223001",1,,,,"0",,"0",,,
"20140829123806P030106021655001",6,,,,"0",,"0",,,
"20140829123806P030106021655001",5,,,,"0",,"0",,,
"20140829123806P030106021655001",4,,,,"0",,"0",,,
"20140829123806P030106021655001",3,,,,"0",,"0",,,
"20140829123806P030106021655001",2,,,,"0",,"0",,,
"20140829123806P030106021655001",1,,,,"0",,"0",,,
"20140912104406P030041908079001",1,,,,"0",,"0",,,
"20140905115806P030038138463001",1,,,,"0",,"0",,,
"20140821125428P030037797117001",1,,,,"0",,"0",,,
"20140821143301P030094841543001",1,,,,"0",,"0",,,
"20141014202202P030018168287001",4,"WILLIAM H. LANE, INC,","160925555",94360,"0","2017-06-30","0",6.9,"1",
"20141014202202P030018168287001",3,"ANDREW R. MANCINI ASSOC.","160926056",102608,"1",,"1",,,
"20141014202202P030018168287001",2,"ECONOMY PAVING","160951911",134374,"0","2016-03-31","0",7,"1",
"20141014202202P030018168287001",1,"QUALITY STRUCTURES, INC.","161389205",184116,"0","2017-06-30","0",6.9,"1",
"20141014153723P040019299999001",4,"STONE AND WEBSTER","135416910",347632,"0","2016-05-31","0",6.8,"1",
"20141014153723P040019299999001",3,"MBR CONSTRUCTION SERVICES","201267959",117544,"0","2016-05-31","0",6.8,"1",
"20141014153723P040019299999001",2,"G R SPONAUGLE AND SONS INC.","231488911",310005,"0","2016-05-31","0",6.8,"1",
"20141014153723P040019299999001",1,"EDWIN L HEIM ELECTRIC","231265924",1757187,"0","2016-05-31","0",6.8,"1",
