Year,"Annual maximum taxable earnings (dollars), OASDI","Contribution Rate (percent), Employer and employee (OASI)","Contribution Rate (percent), Self-employed person (OASI)"
1937,3000,1.0,. . .
1938,3000,1.0,. . .
1939,3000,1.0,. . .
1940,3000,1.0,. . .
1941,3000,1.0,. . .
1942,3000,1.0,. . .
1943,3000,1.0,. . .
1944,3000,1.0,. . .
1945,3000,1.0,. . .
1946,3000,1.0,. . .
1947,3000,1.0,. . .
1948,3000,1.0,. . .
1949,3000,1.0,. . .
1950,3000,1.5,. . .
1951,3600,1.5,2.25
1952,3600,1.5,2.25
1953,3600,1.5,2.25
1954,3600,2.0,3.0
1955,4200,2.0,3.0
1956,4200,2.0,3.0
1957,4200,2.0,3.0
1958,4200,2.0,3.0
1959,4800,2.25,3.375
1960,4800,2.75,4.125
1961,4800,2.75,4.125
1962,4800,2.875,4.325
1963,4800,3.375,5.025
1964,4800,3.375,5.025
1965,4800,3.375,5.025
1966,6600,3.5,5.275
1967,6600,3.55,5.375
1968,7800,3.325,5.0875
1969,7800,3.725,5.5875
1970,7800,3.65,5.475
1971,7800,4.05,6.075
1972,9000,4.05,6.075
1973,10800,4.3,6.205
1974,13200,4.375,6.185
1975,14100,4.375,6.185
1976,15300,4.375,6.185
1977,16500,4.375,6.185
1978,17700,4.275,6.01
1979,22900,4.33,6.01
1980,25900,4.52,6.2725
1981,29700,4.7,7.025
1982,32400,4.575,6.8125
1983,35700,4.775,7.1125
1984,37800,5.2,10.4
1985,39600,5.2,10.4
1986,42000,5.2,10.4
1987,43800,5.2,10.4
1988,45000,5.53,11.06
1989,48000,5.53,11.06
1990,51300,5.6,11.2
1991,53400,5.6,11.2
1992,55500,5.6,11.2
1993,57600,5.6,11.2
1994,60600,5.26,10.52
1995,61200,5.26,10.52
1996,62700,5.26,10.52
1997,65400,5.35,10.7
1998,68400,5.35,10.7
1999,72600,5.35,10.7
2000,76200,5.3,10.6
2001,80400,5.3,10.6
2002,84900,5.3,10.6
2003,87000,5.3,10.6
2004,87900,5.3,10.6
2005,90000,5.3,10.6
2006,94200,5.3,10.6
2007,97500,5.3,10.6
2008,102000,5.3,10.6
2009,106800,5.3,10.6
2010,106800,5.3,10.6
2011,106800,5.3,10.6
2012,110100,5.3,10.6
2013,113700,5.3,10.6
