Year,Employee (OASI),Self-employed person (OASI)
1937,30.00,. . .
1938,30.00,. . .
1939,30.00,. . .
1940,30.00,. . .
1941,30.00,. . .
1942,30.00,. . .
1943,30.00,. . .
1944,30.00,. . .
1945,30.00,. . .
1946,30.00,. . .
1947,30.00,. . .
1948,30.00,. . .
1949,30.00,. . .
1950,45.00,. . .
1951,54.00,81.00
1952,54.00,81.00
1953,54.00,81.00
1954,72.00,108.00
1955,84.00,126.00
1956,84.00,126.00
1957,84.00,126.00
1958,84.00,126.00
1959,108.00,162.00
1960,132.00,198.00
1961,132.00,198.00
1962,138.00,207.60
1963,162.00,241.20
1964,162.00,241.20
1965,162.00,241.20
1966,231.00,348.15
1967,234.30,354.75
1968,259.35,396.825
1969,290.55,435.825
1970,284.70,427.05
1971,315.90,473.85
1972,364.50,546.75
1973,464.40,670.14
1974,577.50,816.42
1975,616.875,872.085
1976,669.375,946.305
1977,721.875,1020.525
1978,756.675,1063.77
1979,991.59,1376.29
1980,1170.68,1624.58
1981,1395.90,2086.43
1982,1482.30,2207.25
1983,1704.675,2539.1625
1984,1965.60,3931.20
1985,2059.20,4118.40
1986,2184.00,4368.00
1987,2277.60,4555.20
1988,2488.50,4977.00
1989,2654.40,5308.80
1990,2872.80,5745.60
1991,2990.40,5980.80
1992,3108.00,6216.00
1993,3225.60,6451.20
1994,3187.56,6375.12
1995,3219.12,6438.24
1996,3298.02,6596.04
1997,3498.90,6997.80
1998,3659.40,7318.80
1999,3884.10,7768.20
2000,4038.60,8077.20
2001,4261.20,8522.40
2002,4499.70,8999.40
2003,4611.00,9222.00
2004,4658.70,9317.40
2005,4770.00,9540.00
2006,4992.60,9985.20
2007,5167.50,10335.00
2008,5406.00,10812.00
2009,5660.40,11320.80
2010,5660.40,11320.80
2011,5660.40,11320.80
2012,5835.30,11670.60
2013,6026.10,12052.20
