Monthly Benefit (dollars),Total Number,Total Percent,"Early Retirement, Number","Early Retirement, Percent","Retirement, Number","Retirement, Percent"
Less than 500.00,"93,427",6.6,"71,848",8.0,"21,579",4.2
500.00–549.90,"15,095",1.1,"12,048",1.3,"3,047",0.6
550.00–599.90,"21,050",1.5,"18,037",2.0,"3,013",0.6
600.00–649.90,"22,785",1.6,"19,145",2.1,"3,640",0.7
650.00–699.90,"23,871",1.7,"19,859",2.2,"4,012",0.8
700.00–749.90,"26,848",1.9,"20,892",2.3,"5,956",1.2
750.00–799.90,"27,073",1.9,"20,371",2.3,"6,702",1.3
800.00–849.90,"28,529",2.0,"21,204",2.4,"7,325",1.4
850.00–899.90,"28,960",2.0,"21,255",2.4,"7,705",1.5
900.00–949.90,"30,191",2.1,"22,198",2.5,"7,993",1.5
950.00–999.90,"30,389",2.1,"22,235",2.5,"8,154",1.6
"1,000.00–1,049.90","32,023",2.3,"23,222",2.6,"8,801",1.7
"1,050.00–1,099.90","32,863",2.3,"24,025",2.7,"8,838",1.7
"1,100.00–1,149.90","33,029",2.3,"24,199",2.7,"8,830",1.7
"1,150.00–1,199.90","33,967",2.4,"24,667",2.7,"9,300",1.8
"1,200.00–1,249.90","34,557",2.4,"25,385",2.8,"9,172",1.8
"1,250.00–1,299.90","34,678",2.4,"25,104",2.8,"9,574",1.9
"1,300.00–1,349.90","34,776",2.5,"25,144",2.8,"9,632",1.9
"1,350.00–1,399.90","35,702",2.5,"25,614",2.8,"10,088",2.0
"1,400.00–1,449.90","35,831",2.5,"25,609",2.8,"10,222",2.0
"1,450.00–1,499.90","42,873",3.0,"32,202",3.6,"10,671",2.1
"1,500.00–1,549.90","51,174",3.6,"40,412",4.5,"10,762",2.1
"1,550.00–1,599.90","49,835",3.5,"38,980",4.3,"10,855",2.1
"1,600.00–1,649.90","47,691",3.4,"36,711",4.1,"10,980",2.1
"1,650.00–1,699.90","45,493",3.2,"33,713",3.7,"11,780",2.3
"1,700.00–1,749.90","42,923",3.0,"30,993",3.4,"11,930",2.3
"1,750.00–1,799.90","40,438",2.9,"29,017",3.2,"11,421",2.2
"1,800.00–1,849.90","38,304",2.7,"26,710",3.0,"11,594",2.2
"1,850.00–1,899.90","33,571",2.4,"22,231",2.5,"11,340",2.2
"1,900.00–1,949.90","28,888",2.0,"17,129",1.9,"11,759",2.3
"1,950.00–1,999.90","31,197",2.2,"16,534",1.8,"14,663",2.8
"2,000.00–2,049.90","34,091",2.4,"15,224",1.7,"18,867",3.7
"2,050.00–2,099.90","31,702",2.2,"13,434",1.5,"18,268",3.5
"2,100.00 or more","244,747",17.3,"56,615",6.3,"188,132",36.4
