Monthly Benefit (dollars),Total Number,Total Percent,"Early Retirement, Number","Early Retirement, Percent","Retirement, Number","Retirement, Percent"
Less than 500.00,"130,992",10.0,"106,172",11.6,"24,820",6.2
500.00–549.90,"26,787",2.0,"22,713",2.5,"4,074",1.0
550.00–599.90,"38,546",2.9,"34,020",3.7,"4,526",1.1
600.00–649.90,"43,598",3.3,"37,446",4.1,"6,152",1.5
650.00–699.90,"46,033",3.5,"38,926",4.3,"7,107",1.8
700.00–749.90,"54,687",4.2,"44,015",4.8,"10,672",2.6
750.00–799.90,"60,521",4.6,"48,536",5.3,"11,985",3.0
800.00–849.90,"61,566",4.7,"49,266",5.4,"12,300",3.0
850.00–899.90,"61,233",4.7,"48,298",5.3,"12,935",3.2
900.00–949.90,"58,302",4.4,"44,671",4.9,"13,631",3.4
950.00–999.90,"51,578",3.9,"37,604",4.1,"13,974",3.5
"1,000.00–1,049.90","50,906",3.9,"36,614",4.0,"14,292",3.5
"1,050.00–1,099.90","48,789",3.7,"34,584",3.8,"14,205",3.5
"1,100.00–1,149.90","46,623",3.5,"32,423",3.6,"14,200",3.5
"1,150.00–1,199.90","43,904",3.3,"29,970",3.3,"13,934",3.5
"1,200.00–1,249.90","41,933",3.2,"27,739",3.0,"14,194",3.5
"1,250.00–1,299.90","38,301",2.9,"25,280",2.8,"13,021",3.2
"1,300.00–1,349.90","35,563",2.7,"23,296",2.6,"12,267",3.0
"1,350.00–1,399.90","33,468",2.5,"21,677",2.4,"11,791",2.9
"1,400.00–1,449.90","31,231",2.4,"19,751",2.2,"11,480",2.8
"1,450.00–1,499.90","32,523",2.5,"21,189",2.3,"11,334",2.8
"1,500.00–1,549.90","33,179",2.5,"22,449",2.5,"10,730",2.7
"1,550.00–1,599.90","28,315",2.2,"18,264",2.0,"10,051",2.5
"1,600.00–1,649.90","25,228",1.9,"15,344",1.7,"9,884",2.4
"1,650.00–1,699.90","22,378",1.7,"12,813",1.4,"9,565",2.4
"1,700.00–1,749.90","19,682",1.5,"10,567",1.2,"9,115",2.3
"1,750.00–1,799.90","17,470",1.3,"8,933",1.0,"8,537",2.1
"1,800.00–1,849.90","15,407",1.2,"7,529",0.8,"7,878",2.0
"1,850.00–1,899.90","13,853",1.1,"6,635",0.7,"7,218",1.8
"1,900.00–1,949.90","12,546",1.0,"5,530",0.6,"7,016",1.7
"1,950.00–1,999.90","12,885",1.0,"5,043",0.6,"7,842",1.9
"2,000.00–2,049.90","13,617",1.0,"4,082",0.4,"9,535",2.4
"2,050.00–2,099.90","11,640",0.9,"3,189",0.3,"8,451",2.1
"2,100.00 or more","53,152",4.0,"8,413",0.9,"44,739",11.1
